config,capture_id,category,tool,family,label,split,role,whole_capture,first_window,last_window,t_start,t_end,t_start_utc,t_end_utc,window_seconds,rule
A,crossEndPoint/AndIodine-CNAME,crossEndPoint,AndIodine-CNAME,iodine (Android),tunnel,heldout,unseen_platform,True,0,82,1695298020,1695303000,2023-09-21 12:07:00,2023-09-21 13:30:00,60,evaluation only
A,crossEndPoint/AndIodine-MX,crossEndPoint,AndIodine-MX,iodine (Android),tunnel,heldout,unseen_platform,True,0,62,1695294300,1695298080,2023-09-21 11:05:00,2023-09-21 12:08:00,60,evaluation only
A,crossEndPoint/AndIodine-NULL,crossEndPoint,AndIodine-NULL,iodine (Android),tunnel,heldout,unseen_platform,True,0,35,1695279540,1695281700,2023-09-21 06:59:00,2023-09-21 07:35:00,60,evaluation only
A,crossEndPoint/AndIodine-SRV,crossEndPoint,AndIodine-SRV,iodine (Android),tunnel,heldout,unseen_platform,True,0,63,1695290520,1695294360,2023-09-21 10:02:00,2023-09-21 11:06:00,60,evaluation only
A,crossEndPoint/AndIodine-TXT,crossEndPoint,AndIodine-TXT,iodine (Android),tunnel,heldout,unseen_platform,True,0,140,1695282000,1695290460,2023-09-21 07:40:00,2023-09-21 10:01:00,60,evaluation only
A,normal/normal_00000_20230805150331,normal,normal,normal,benign,train,fit,True,0,24,1691218980,1691220480,2023-08-05 07:03:00,2023-08-05 07:28:00,60,normal file index 00000-00047
A,normal/normal_00001_20230805152732,normal,normal,normal,benign,train,fit,True,0,26,1691220420,1691222040,2023-08-05 07:27:00,2023-08-05 07:54:00,60,normal file index 00000-00047
A,normal/normal_00002_20230805155315,normal,normal,normal,benign,train,fit,True,0,30,1691221980,1691223840,2023-08-05 07:53:00,2023-08-05 08:24:00,60,normal file index 00000-00047
A,normal/normal_00003_20230805162300,normal,normal,normal,benign,train,fit,True,0,33,1691223780,1691225820,2023-08-05 08:23:00,2023-08-05 08:57:00,60,normal file index 00000-00047
A,normal/normal_00004_20230805165638,normal,normal,normal,benign,train,fit,True,0,36,1691225760,1691227980,2023-08-05 08:56:00,2023-08-05 09:33:00,60,normal file index 00000-00047
A,normal/normal_00005_20230805173251,normal,normal,normal,benign,train,fit,True,0,122,1691227920,1691235300,2023-08-05 09:32:00,2023-08-05 11:35:00,60,normal file index 00000-00047
A,normal/normal_00006_20230805193455,normal,normal,normal,benign,train,fit,True,0,10,1691235240,1691235900,2023-08-05 11:34:00,2023-08-05 11:45:00,60,normal file index 00000-00047
A,normal/normal_00007_20230805194417,normal,normal,normal,benign,train,fit,True,0,9,1691235840,1691236440,2023-08-05 11:44:00,2023-08-05 11:54:00,60,normal file index 00000-00047
A,normal/normal_00008_20230805195347,normal,normal,normal,benign,train,fit,True,0,10,1691236380,1691237040,2023-08-05 11:53:00,2023-08-05 12:04:00,60,normal file index 00000-00047
A,normal/normal_00009_20230805200318,normal,normal,normal,benign,train,fit,True,0,9,1691236980,1691237580,2023-08-05 12:03:00,2023-08-05 12:13:00,60,normal file index 00000-00047
A,normal/normal_00010_20230805201245,normal,normal,normal,benign,train,fit,True,0,10,1691237520,1691238180,2023-08-05 12:12:00,2023-08-05 12:23:00,60,normal file index 00000-00047
A,normal/normal_00011_20230805202204,normal,normal,normal,benign,train,fit,True,0,20,1691238120,1691239380,2023-08-05 12:22:00,2023-08-05 12:43:00,60,normal file index 00000-00047
A,normal/normal_00012_20230805204207,normal,normal,normal,benign,train,fit,True,0,7,1691239320,1691239800,2023-08-05 12:42:00,2023-08-05 12:50:00,60,normal file index 00000-00047
A,normal/normal_00013_20230805204920,normal,normal,normal,benign,train,fit,True,0,8,1691239740,1691240280,2023-08-05 12:49:00,2023-08-05 12:58:00,60,normal file index 00000-00047
A,normal/normal_00014_20230805205702,normal,normal,normal,benign,train,fit,True,0,7,1691240220,1691240700,2023-08-05 12:57:00,2023-08-05 13:05:00,60,normal file index 00000-00047
A,normal/normal_00015_20230805210440,normal,normal,normal,benign,train,fit,True,0,8,1691240640,1691241180,2023-08-05 13:04:00,2023-08-05 13:13:00,60,normal file index 00000-00047
A,normal/normal_00016_20230805211220,normal,normal,normal,benign,train,fit,True,0,7,1691241120,1691241600,2023-08-05 13:12:00,2023-08-05 13:20:00,60,normal file index 00000-00047
A,normal/normal_00017_20230805211952,normal,normal,normal,benign,train,fit,True,0,8,1691241540,1691242080,2023-08-05 13:19:00,2023-08-05 13:28:00,60,normal file index 00000-00047
A,normal/normal_00018_20230805212730,normal,normal,normal,benign,train,fit,True,0,16,1691242020,1691243040,2023-08-05 13:27:00,2023-08-05 13:44:00,60,normal file index 00000-00047
A,normal/normal_00019_20230805214304,normal,normal,normal,benign,train,fit,True,0,7,1691242980,1691243460,2023-08-05 13:43:00,2023-08-05 13:51:00,60,normal file index 00000-00047
A,normal/normal_00020_20230805215042,normal,normal,normal,benign,train,fit,True,0,8,1691243400,1691243940,2023-08-05 13:50:00,2023-08-05 13:59:00,60,normal file index 00000-00047
A,normal/normal_00021_20230805215807,normal,normal,normal,benign,train,fit,True,0,7,1691243880,1691244360,2023-08-05 13:58:00,2023-08-05 14:06:00,60,normal file index 00000-00047
A,normal/normal_00022_20230805220555,normal,normal,normal,benign,train,fit,True,0,8,1691244300,1691244840,2023-08-05 14:05:00,2023-08-05 14:14:00,60,normal file index 00000-00047
A,normal/normal_00023_20230805221350,normal,normal,normal,benign,train,fit,True,0,8,1691244780,1691245320,2023-08-05 14:13:00,2023-08-05 14:22:00,60,normal file index 00000-00047
A,normal/normal_00024_20230805222144,normal,normal,normal,benign,train,fit,True,0,8,1691245260,1691245800,2023-08-05 14:21:00,2023-08-05 14:30:00,60,normal file index 00000-00047
A,normal/normal_00025_20230805222942,normal,normal,normal,benign,train,fit,True,0,680,1691245740,1691286600,2023-08-05 14:29:00,2023-08-06 01:50:00,60,normal file index 00000-00047
A,normal/normal_00026_20230806094925,normal,normal,normal,benign,train,fit,True,0,7,1691286540,1691287020,2023-08-06 01:49:00,2023-08-06 01:57:00,60,normal file index 00000-00047
